sampleID	donor	condition	sizeFactor	libraryCounts
patient_101__ctrl	patient_101	ctrl	0.8155870184994546	124446
patient_101__stim	patient_101	stim	1.0122428279337703	170293
patient_1015__ctrl	patient_1015	ctrl	3.5591315590846957	556570
patient_1015__stim	patient_1015	stim	2.8680127286500836	481886
patient_1016__ctrl	patient_1016	ctrl	0.9396805902385715	152335
patient_1016__stim	patient_1016	stim	0.8440087015262014	150619
patient_1039__ctrl	patient_1039	ctrl	0.22575158430197168	35016
patient_1039__stim	patient_1039	stim	0.3918566812460085	71578
patient_107__ctrl	patient_107	ctrl	0.3356973016075802	52655
patient_107__stim	patient_107	stim	0.5099042710247819	84791
patient_1244__ctrl	patient_1244	ctrl	1.010190520229959	161291
patient_1244__stim	patient_1244	stim	0.7995126751416864	131709
patient_1256__ctrl	patient_1256	ctrl	1.694129658608408	260261
patient_1256__stim	patient_1256	stim	1.660416056764417	277533
patient_1488__ctrl	patient_1488	ctrl	1.8359922078075328	290330
patient_1488__stim	patient_1488	stim	2.3688364778070437	399790
