sampleID	intercept	treatment-minus-control	donor:patient_1015	donor:patient_1016	donor:patient_1039	donor:patient_107	donor:patient_1244	donor:patient_1256	donor:patient_1488
patient_101__ctrl	1	0	0	0	0	0	0	0	0
patient_101__stim	1	1	0	0	0	0	0	0	0
patient_1015__ctrl	1	0	1	0	0	0	0	0	0
patient_1015__stim	1	1	1	0	0	0	0	0	0
patient_1016__ctrl	1	0	0	1	0	0	0	0	0
patient_1016__stim	1	1	0	1	0	0	0	0	0
patient_1039__ctrl	1	0	0	0	1	0	0	0	0
patient_1039__stim	1	1	0	0	1	0	0	0	0
patient_107__ctrl	1	0	0	0	0	1	0	0	0
patient_107__stim	1	1	0	0	0	1	0	0	0
patient_1244__ctrl	1	0	0	0	0	0	1	0	0
patient_1244__stim	1	1	0	0	0	0	1	0	0
patient_1256__ctrl	1	0	0	0	0	0	0	1	0
patient_1256__stim	1	1	0	0	0	0	0	1	0
patient_1488__ctrl	1	0	0	0	0	0	0	0	1
patient_1488__stim	1	1	0	0	0	0	0	0	1
