cohort	method	attempted	eligible	tested	withheld	rawPBelow001	rawPBelow005	bh001	bh005	bh010	anyBH005
01	native-wald	32357	15608	844	31513	18	53	0	1	7	True
01	native-lrt	32357	15608	844	31513	18	56	0	1	7	True
01	native-ql	32357	15608	14698	17659	247	1059	0	2	5	True
01	native-fixed-wald	32357	15608	14698	17659	251	885	6	13	29	True
01	native-fixed-lrt	32357	15608	14698	17659	256	897	6	14	27	True
01	reference-edgeR-QL	32357	15608	15608	16749	313	1205	0	2	5	True
01	reference-limma-voom	32357	15608	15608	16749	283	1144	0	3	4	True
01	reference-DESeq2	32357	15608	15608	16749	172	585	4	8	10	True
01	reference-DESeq2-default	32357	15608	15602	16755	171	583	5	10	24	True
02	native-wald	32357	16107	15930	16427	217	889	2	3	3	True
02	native-lrt	32357	16107	15930	16427	213	887	1	3	3	True
02	native-ql	32357	16107	15930	16427	177	893	0	0	0	False
02	native-fixed-wald	32357	16107	15930	16427	217	889	2	3	3	True
02	native-fixed-lrt	32357	16107	15930	16427	213	887	1	3	3	True
02	reference-edgeR-QL	32357	16107	16107	16250	213	1023	0	0	0	False
02	reference-limma-voom	32357	16107	16107	16250	225	1037	0	0	0	False
02	reference-DESeq2	32357	16107	16107	16250	159	679	2	3	3	True
02	reference-DESeq2-default	32357	16107	16096	16261	158	677	2	3	3	True
03	native-wald	32357	15913	3774	28583	42	152	3	3	8	True
03	native-lrt	32357	15913	3774	28583	38	156	3	3	4	True
03	native-ql	32357	15913	15177	17180	137	724	0	0	0	False
03	native-fixed-wald	32357	15913	15177	17180	166	640	3	6	8	True
03	native-fixed-lrt	32357	15913	15177	17180	156	645	3	5	6	True
03	reference-edgeR-QL	32357	15913	15913	16444	170	865	0	0	1	False
03	reference-limma-voom	32357	15913	15913	16444	143	828	0	0	1	False
03	reference-DESeq2	32357	15913	15913	16444	114	406	2	3	6	True
03	reference-DESeq2-default	32357	15913	15901	16456	111	402	2	3	7	True
04	native-wald	32357	16300	4198	28159	30	114	2	2	3	True
